,time,tx,rx,f-nr
2302,42.244068,f016000300010000000100014d00000100690000000b000000c8,f048000300010000000100014d00000100690000000b0000003e0001001000270010000300020003000000000000000000000000000000000000000000000000000000000000000000000056,True
2478,44.974788,f016000300010000000100014d00000100710000000b000000d0,f048000300010000000100014d00000100710000000b0000003e00010005002f000f000300020002000000000000000000000000000000000000000000000000000000000000000000000059,True
2566,46.448162,f016000300010000000100014d00000100750000000b000000d4,f048000300010000000100014d00000100750000000b0000003e00010019002b000f00030002000100000000000000000000000000000000000000000000000000000000000000000000006c,True
2588,46.777672,f016000300010000000100014d00000100760000000b000000d5,f048000300010000000100014d00000100760000000b0000003e00010015002b000f000300020017001a00000000000000000000000000000000000000000000000000000000000000000099,True
2632,47.525647,f016000300010000000100014d00000100780000000b000000d7,f048000300010000000100014d00000100780000000b0000003e00010013002a000f000300020016002e000000000000000000000000000000000000000000000000000000000000000000ab,True
2676,48.193882,f016000300010000000100014d000001007a0000000b000000d9,f048000300010000000100014d000001007a0000000b0000003e00010034000a000f00030002001500000000000000000000000000000000000000000000000000000000000000000000007f,True
2720,48.907137,f016000300010000000100014d000001007c0000000b000000db,f048000300010000000100014d000001007c0000000b0000003e000100120028000b000200020014000000000000000000000000000000000000000000000000000000000000000000000077,True
2764,49.531951,f016000300010000000100014d000001007e0000000b000000dd,f048000300010000000100014d000001007e0000000b0000003e000100380017000b00020002001300000000000000000000000000000000000000000000000000000000000000000000008d,True
2808,50.230633,f016000300010000000100014d00000100800000000b000000df,f048000300010000000100014d00000100800000000b0000003e0001002f0002000b000200020012000000000000000000000000000000000000000000000000000000000000000000000070,True
2852,50.952171,f016000300010000000100014d00000100820000000b000000e1,f048000300010000000100014d00000100820000000b0000003e000100020010000a001a00010011000000000000000000000000000000000000000000000000000000000000000000000068,True
2896,52.079524,f016000300010000000100014d00000100840000000b000000e3,f048000300010000000100014d00000100840000000b0000003e00010007000e000a001a0001001000000000000000000000000000000000000000000000000000000000000000000000006c,True
2940,52.73613,f016000300010000000100014d00000100860000000b000000e5,f048000300010000000100014d00000100860000000b0000003e000100260003000a001a0001000f000000000000000000000000000000000000000000000000000000000000000000000081,True
2984,53.472538,f016000300010000000100014d00000100880000000b000000e7,f048000300010000000100014d00000100880000000b0000003e0001001f003b000f00190001000e0000000000000000000000000000000000000000000000000000000000000000000000b7,True
3028,54.193201,f016000300010000000100014d000001008a0000000b000000e9,f048000300010000000100014d000001008a0000000b0000003e00010004001d000e00190001000d0035000000000000000000000000000000000000000000000000000000000000000000b3,True
3050,54.507536,f016000300010000000100014d000001008b0000000b000000ea,f048000300010000000100014d000001008b0000000b0000003e000100170029000b00190001000c003a000000000000000000000000000000000000000000000000000000000000000000d4,True
3094,55.12741,f016000300010000000100014d000001008d0000000b000000ec,f048000300010000000100014d000001008d0000000b0000003e00010017001e000b00190001000b000000000000000000000000000000000000000000000000000000000000000000000090,True
3138,55.813061,f016000300010000000100014d000001008f0000000b000000ee,f048000300010000000100014d000001008f0000000b0000003e00010001001d000b00190001000a00000000000000000000000000000000000000000000000000000000000000000000007a,True
3204,56.861916,f016000300010000000100014d00000100920000000b000000f1,f048000300010000000100014d00000100920000000b0000003e0001001d0020000a0019000100090035000000000000000000000000000000000000000000000000000000000000000000cf,True
3248,57.601556,f016000300010000000100014d00000100940000000b000000f3,f048000300010000000100014d00000100940000000b0000003e00010018001d0009001900010008000000000000000000000000000000000000000000000000000000000000000000000092,True
3292,58.256964,f016000300010000000100014d00000100960000000b000000f5,f048000300010000000100014d00000100960000000b0000003e000100300008000f00180001000700000000000000000000000000000000000000000000000000000000000000000000009b,True
3336,58.966241,f016000300010000000100014d00000100980000000b000000f7,f048000300010000000100014d00000100980000000b0000003e000100310014000d0018000100060000000000000000000000000000000000000000000000000000000000000000000000a7,True
3402,60.154256,f016000300010000000100014d000001009b0000000b000000fa,f048000300010000000100014d000001009b0000000b0000003e0001001e000c000d001800010005002e000000000000000000000000000000000000000000000000000000000000000000bc,True
3468,61.190333,f016000300010000000100014d000001009e0000000b000000fd,f048000300010000000100014d000001009e0000000b0000003e000100230009000d001800010004002e000000000000000000000000000000000000000000000000000000000000000000c0,True
3534,62.227602,f016000300010000000100014d00000100a10000000b00000000,f048000300010000000100014d00000100a10000000b0000003e000100270025000c0018000100030029000000000000000000000000000000000000000000000000000000000000000000dc,True
3600,63.278986,f016000300010000000100014d00000100a40000000b00000003,f048000300010000000100014d00000100a40000000b0000003e0001002a0022000c001800010002003a000000000000000000000000000000000000000000000000000000000000000000ef,True
3666,64.272113,f016000300010000000100014d00000100a70000000b00000006,f048000300010000000100014d00000100a70000000b0000003e00010031001b000c0018000100010029000000000000000000000000000000000000000000000000000000000000000000e0,True
3688,64.589288,f016000300010000000100014d00000100a80000000b00000007,f048000300010000000100014d00000100a80000000b0000003e0001002a001b000c00180001000e001a000000000000000000000000000000000000000000000000000000000000000000d8,True
3732,65.31558,f016000300010000000100014d00000100aa0000000b00000009,f048000300010000000100014d00000100aa0000000b0000003e000100390001000c00180001000d0000000000000000000000000000000000000000000000000000000000000000000000b4,True
3776,66.007498,f016000300010000000100014d00000100ac0000000b0000000b,f048000300010000000100014d00000100ac0000000b0000003e00010023001c000f00130001000c0000000000000000000000000000000000000000000000000000000000000000000000b8,True
3820,66.735478,f016000300010000000100014d00000100ae0000000b0000000d,f048000300010000000100014d00000100ae0000000b0000003e0001003b001b000f00130001000b0000000000000000000000000000000000000000000000000000000000000000000000d0,True
3864,67.441576,f016000300010000000100014d00000100b00000000b0000000f,f048000300010000000100014d00000100b00000000b0000003e000100170015000f00130001000a0000000000000000000000000000000000000000000000000000000000000000000000a7,True
3908,68.089312,f016000300010000000100014d00000100b20000000b00000011,f048000300010000000100014d00000100b20000000b0000003e00010010000f000e00130001000900000000000000000000000000000000000000000000000000000000000000000000009a,True
3952,68.712739,f016000300010000000100014d00000100b40000000b00000013,f048000300010000000100014d00000100b40000000b0000003e000100360014000c0013000100080000000000000000000000000000000000000000000000000000000000000000000000c4,True
3996,69.376353,f016000300010000000100014d00000100b60000000b00000015,f048000300010000000100014d00000100b60000000b0000003e000100250027000e0011000100070000000000000000000000000000000000000000000000000000000000000000000000c7,True
4040,70.04554,f016000300010000000100014d00000100b80000000b00000017,f048000300010000000100014d00000100b80000000b0000003e00010035001d000e0011000100060000000000000000000000000000000000000000000000000000000000000000000000ce,True
4106,71.130326,f016000300010000000100014d00000100bb0000000b0000001a,f048000300010000000100014d00000100bb0000000b0000003e000100080017000e00110001000500000000000000000000000000000000000000000000000000000000000000000000009d,True
4172,72.168417,f016000300010000000100014d00000100be0000000b0000001d,f048000300010000000100014d00000100be0000000b0000003e0001001b0012000e0011000100040000000000000000000000000000000000000000000000000000000000000000000000ad,True
4260,73.614217,f016000300010000000100014d00000100c20000000b00000021,f048000300010000000100014d00000100c20000000b0000003e000100330012000c001100010003002c000000000000000000000000000000000000000000000000000000000000000000f2,True
4282,73.923571,f016000300010000000100014d00000100c30000000b00000022,f048000300010000000100014d00000100c30000000b0000003e000100220012000c001100010002002d000000000000000000000000000000000000000000000000000000000000000000e2,True
4370,75.367121,f016000300010000000100014d00000100c70000000b00000026,f048000300010000000100014d00000100c70000000b0000003e0001001c000a000c0011000100010000000000000000000000000000000000000000000000000000000000000000000000aa,True
