25/02/2023  14:04:42

Nr,F-Nr,Flag,Zeit,Datum,Anzahl,Status,Fehlertext,Info-Txt,Info-Txt,
152,62,1 kommen,13:20:49,24.01,6,,9062 Reset event!,0,Unbekannt,
153,268,1 kommen,13:17:09,24.01,80,,9268 power supply  notifies to cpu mains voltage too low,0,,
154,61,2 gehen,13:12:30,24.01,2,,9061 Standby event,3,KD (Servicebetrieb),
155,62,1 kommen,13:12:30,24.01,5,,9062 Reset event!,46,Reset über Servicebetrieb,
156,61,1 kommen,13:12:30,24.01,2,,9061 Standby event,3,KD (Servicebetrieb),
157,61,2 gehen,13:09:35,24.01,1,,9061 Standby event,3,KD (Servicebetrieb),
158,62,1 kommen,13:09:35,24.01,4,,9062 Reset event!,46,Reset über Servicebetrieb,
159,61,1 kommen,13:09:35,24.01,1,,9061 Standby event,3,KD (Servicebetrieb),
160,72,1 kommen,12:37:40,24.01,2,,Manual input open,0,,
161,62,1 kommen,12:37:39,24.01,3,,9062 Reset event!,41,WDT ext Fehler,
162,268,1 kommen,12:35:43,24.01,78,,9268 power supply  notifies to cpu mains voltage too low,0,,
163,72,1 kommen,12:35:36,24.01,1,,Manual input open,0,,
164,62,1 kommen,12:34:42,24.01,2,,9062 Reset event!,58,?,
165,268,1 kommen,12:34:40,24.01,75,,9268 power supply  notifies to cpu mains voltage too low,0,,
166,248,1 kommen,12:27:52,24.01,2,,F9248 error electrode detection,0,,
167,62,1 kommen,12:27:49,24.01,1,,9062 Reset event!,41,WDT ext Fehler,
168,62,1 kommen,12:27:42,24.01,14,,9062 Reset event!,26,Reset bei Maschinendaten kopieren,
169,248,1 kommen,12:02:01,24.01,1,,F9248 error electrode detection,0,,
170,62,1 kommen,12:01:57,24.01,13,,9062 Reset event!,0,Unbekannt,
171,268,1 kommen,15:28:44,19.01,73,,9268 power supply  notifies to cpu mains voltage too low,0,,
172,62,1 kommen,15:28:35,19.01,12,,9062 Reset event!,0,Unbekannt,
173,268,1 kommen,15:28:18,19.01,71,,9268 power supply  notifies to cpu mains voltage too low,0,,
174,62,1 kommen,15:27:59,19.01,11,,9062 Reset event!,0,Unbekannt,
175,268,1 kommen,15:27:54,19.01,69,,9268 power supply  notifies to cpu mains voltage too low,0,,
176,62,1 kommen,15:21:23,19.01,10,,9062 Reset event!,0,Unbekannt,
177,268,1 kommen,14:17:21,19.01,67,,9268 power supply  notifies to cpu mains voltage too low,0,,
178,62,1 kommen,14:15:16,19.01,9,,9062 Reset event!,0,Unbekannt,
179,268,1 kommen,12:49:44,19.01,65,,9268 power supply  notifies to cpu mains voltage too low,0,,
180,62,1 kommen,12:20:54,19.01,8,,9062 Reset event!,0,Unbekannt,
181,268,1 kommen,14:42:53,17.01,63,,9268 power supply  notifies to cpu mains voltage too low,0,,
182,62,1 kommen,14:39:37,17.01,7,,9062 Reset event!,0,Unbekannt,
183,268,1 kommen,14:36:50,17.01,61,,9268 power supply  notifies to cpu mains voltage too low,0,,
184,62,1 kommen,14:29:53,17.01,6,,9062 Reset event!,0,Unbekannt,
185,268,1 kommen,14:29:49,17.01,59,,9268 power supply  notifies to cpu mains voltage too low,0,,
186,246,1 kommen,14:23:24,17.01,1,,F166 Error flowmeter occurs during steam boiler supply,0,,
187,62,1 kommen,14:23:08,17.01,5,,9062 Reset event!,0,Unbekannt,
188,268,1 kommen,14:22:15,17.01,57,,9268 power supply  notifies to cpu mains voltage too low,0,,
189,76,1 kommen,14:19:43,17.01,6,,No water pressure,0,,
190,62,1 kommen,14:18:27,17.01,4,,9062 Reset event!,0,Unbekannt,
191,268,1 kommen,13:48:01,17.01,55,,9268 power supply  notifies to cpu mains voltage too low,0,,
192,271,1 kommen,12:23:01,17.01,4,,F9271 oscillation pump swiches to coast down operation mode,3,,
193,61,2 gehen,12:18:51,17.01,2,,9061 Standby event,2,PWS OFF,
194,62,1 kommen,12:18:51,17.01,3,,9062 Reset event!,44,Reset über PWS EIN,
195,62,1 kommen,12:18:34,17.01,2,,9062 Reset event!,45,Reset über PWS AUS,
196,61,1 kommen,12:18:34,17.01,1,,9061 Standby event,2,PWS OFF,
197,245,1 kommen,12:12:02,17.01,1,,F165 Error flowmeter occurs during mixer dosing,0,,
198,76,1 kommen,12:11:36,17.01,5,,No water pressure,0,,
199,62,1 kommen,12:10:28,17.01,1,,9062 Reset event!,0,Unbekannt,

