time,dir,packet,len
30.445803000,rx,f01b000300010000000100004d00000100000000000000000003050b04006a,31
30.503452000,tx,f016000300010000000100014d00000100040000000b00000063,26
30.539815000,rx,f048000300010000000100014d00000100040000000b0000003e0001001f0008000d0019000200030000000000000000000000000000000000000000000000000000000000000000000000f4,76
30.622469000,tx,f016000300010000000100014d05000000000000000000000058,26
30.683900000,rx,f018000300010000000100014d0500000000000000000000000d0065,28
30.736588000,tx,f016000300010000000100014d04000000000000000000000057,26
30.747923000,rx,f018000300010000000100014d04000000000000000000000008005f,28
30.791778000,tx,f016000300010000000100014d03000000000000000000000056,26
30.811922000,rx,f018000300010000000100014d0300000000000000000000001f0075,28
30.861823000,tx,f016000300010000000100014d06000000000000000000000059,26
30.891967000,rx,f018000300010000000100014d060000000000000000000000190072,28
30.942075000,tx,f016000300010000000100014d0700000000000000000000005a,26
30.955981000,rx,f018000300010000000100014d07000000000000000000000002005c,28
31.005666000,tx,f016000300010000000100014d0800000000000000000000005b,26
31.020022000,rx,f018000300010000000100014d08000000000000000000000003005e,28
31.068078000,tx,f016000300010000000100014d0900000000000000000000005c,26
31.084046000,rx,f018000300010000000100014d09000000000000000000000000005c,28
31.131848000,tx,f017000500010000000100004d0100000000000000000000000156,27
31.148046000,rx,f016000500010000000100004d01000000000000000000000055,26
31.199922000,tx,f018000500010000000100004d04000000000000000000000005005d,28
31.228120000,rx,f016000500010000000100004d04000000000000000000000058,26
31.286880000,tx,f016000300010000000100004d00000100000000000000000053,26
31.308126000,rx,f01b000300010000000100004d00000100000000000000000003050b05006b,31
31.357787000,tx,f016000300010000000100014d00000100050000000b00000064,26
31.386140000,rx,f048000300010000000100014d00000100050000000b0000000c01010020001a000f000e0002001b0000000000000000000000000000000000000000000000000000000000000000000000e6,76
31.449051000,tx,f016000300010000000100014d05000000000000000000000058,26
31.466173000,rx,f018000300010000000100014d0500000000000000000000000f0067,28
31.513880000,tx,f016000300010000000100014d04000000000000000000000057,26
31.530198000,rx,f018000300010000000100014d0400000000000000000000001a0071,28
31.575410000,tx,f016000300010000000100014d03000000000000000000000056,26
31.594225000,rx,f018000300010000000100014d030000000000000000000000200076,28
31.641862000,tx,f016000300010000000100014d06000000000000000000000059,26
31.658250000,rx,f018000300010000000100014d0600000000000000000000000e0067,28
31.704467000,tx,f016000300010000000100014d0700000000000000000000005a,26
31.786298000,rx,f018000300010000000100014d07000000000000000000000002005c,28
31.834352000,tx,f016000300010000000100014d0800000000000000000000005b,26
31.866344000,rx,f018000300010000000100014d0800000000000000000000001b0076,28
31.918246000,tx,f016000300010000000100014d0900000000000000000000005c,26
31.930350000,rx,f018000300010000000100014d09000000000000000000000000005c,28
31.983975000,tx,f017000500010000000100004d0100000000000000000000000156,27
32.010403000,rx,f016000500010000000100004d01000000000000000000000055,26
32.062002000,tx,f018000500010000000100004d04000000000000000000000006005e,28
32.090397000,rx,f016000500010000000100004d04000000000000000000000058,26
32.136978000,tx,f016000300010000000100004d00000100000000000000000053,26
32.154425000,rx,f01b000300010000000100004d00000100000000000000000003050b06006c,31
32.204353000,tx,f016000300010000000100014d00000100060000000b00000065,26
32.239465000,rx,f048000300010000000100014d00000100060000000b0000004400020028002e000d000e0002000100000000000000000000000000000000000000000000000000000000000000000000001f,76
32.307066000,tx,f016000300010000000100014d05000000000000000000000058,26
32.319498000,rx,f018000300010000000100014d0500000000000000000000000d0065,28
32.370174000,tx,f016000300010000000100014d04000000000000000000000057,26
32.383497000,rx,f018000300010000000100014d0400000000000000000000002e0085,28
32.439860000,tx,f016000300010000000100014d03000000000000000000000056,26
32.463547000,rx,f018000300010000000100014d03000000000000000000000028007e,28
32.510764000,tx,f016000300010000000100014d06000000000000000000000059,26
32.527571000,rx,f018000300010000000100014d0600000000000000000000000e0067,28
32.576015000,tx,f016000300010000000100014d0700000000000000000000005a,26
32.591596000,rx,f018000300010000000100014d07000000000000000000000002005c,28
32.641247000,tx,f016000300010000000100014d0800000000000000000000005b,26
32.655621000,rx,f018000300010000000100014d08000000000000000000000001005c,28
32.706481000,tx,f016000300010000000100014d0900000000000000000000005c,26
32.719649000,rx,f018000300010000000100014d09000000000000000000000000005c,28
32.772527000,tx,f017000500010000000100004d0100000000000000000000000156,27
32.799670000,rx,f016000500010000000100004d01000000000000000000000055,26
32.852819000,tx,f018000500010000000100004d04000000000000000000000007005f,28
32.895737000,rx,f016000500010000000100004d04000000000000000000000058,26
32.952651000,tx,f016000300010000000100004d00000100000000000000000053,26
32.975724000,rx,f01b000300010000000100004d00000100000000000000000003050b07006d,31
33.114037000,tx,f016000300010000000100014d00000100070000000b00000066,26
33.149790000,rx,f048000300010000000100014d00000100070000000b00000044000100110026000d000e00020001000000000000000000000000000000000000000000000000000000000000000000000000,76
33.230432000,tx,f016000300010000000100014d05000000000000000000000058,26
33.245847000,rx,f018000300010000000100014d0500000000000000000000000d0065,28
33.295202000,tx,f016000300010000000100014d04000000000000000000000057,26
33.325874000,rx,f018000300010000000100014d04000000000000000000000026007d,28
33.378561000,tx,f016000300010000000100014d03000000000000000000000056,26
33.389897000,rx,f018000300010000000100014d030000000000000000000000110067,28
33.450943000,tx,f016000300010000000100014d06000000000000000000000059,26
33.469925000,rx,f018000300010000000100014d0600000000000000000000000e0067,28
33.525554000,tx,f016000300010000000100014d0700000000000000000000005a,26
33.549972000,rx,f018000300010000000100014d07000000000000000000000002005c,28
33.600995000,tx,f016000300010000000100014d0800000000000000000000005b,26
33.630002000,rx,f018000300010000000100014d08000000000000000000000001005c,28
33.689232000,tx,f016000300010000000100014d0900000000000000000000005c,26
33.709998000,rx,f018000300010000000100014d09000000000000000000000000005c,28
33.788967000,tx,f017000500010000000100004d0100000000000000000000000156,27
33.806056000,rx,f016000500010000000100004d01000000000000000000000055,26
33.877014000,tx,f018000500010000000100004d040000000000000000000000080060,28
33.886146000,rx,f016000500010000000100004d04000000000000000000000058,26
33.969672000,tx,f016000300010000000100004d00000100000000000000000053,26
33.998125000,rx,f01b000300010000000100004d00000100000000000000000003050b08006e,31
34.050038000,tx,f016000300010000000100014d00000100080000000b00000067,26
34.082167000,rx,f048000300010000000100014d00000100080000000b000000f10001000a0034000c000e000200010000000000000000000000000000000000000000000000000000000000000000000000b4,76
34.152141000,tx,f016000300010000000100014d05000000000000000000000058,26
34.162198000,rx,f018000300010000000100014d0500000000000000000000000c0064,28
34.213458000,tx,f016000300010000000100014d04000000000000000000000057,26
34.226223000,rx,f018000300010000000100014d04000000000000000000000034008b,28
34.279175000,tx,f016000300010000000100014d03000000000000000000000056,26
34.306222000,rx,f018000300010000000100014d0300000000000000000000000a0060,28
34.355293000,tx,f016000300010000000100014d06000000000000000000000059,26
34.386269000,rx,f018000300010000000100014d0600000000000000000000000e0067,28
34.439515000,tx,f016000300010000000100014d0700000000000000000000005a,26
34.450297000,rx,f018000300010000000100014d07000000000000000000000002005c,28
34.505757000,tx,f016000300010000000100014d0800000000000000000000005b,26
34.530322000,rx,f018000300010000000100014d08000000000000000000000001005c,28
34.588514000,tx,f016000300010000000100014d0900000000000000000000005c,26
34.610346000,rx,f018000300010000000100014d09000000000000000000000000005c,28
34.659956000,tx,f017000500010000000100004d0100000000000000000000000156,27
34.690396000,rx,f016000500010000000100004d01000000000000000000000055,26
34.747599000,tx,f018000500010000000100004d040000000000000000000000090061,28
34.754520000,rx,f016000500010000000100004d04000000000000000000000058,26
34.816019000,tx,f016000300010000000100004d00000100000000000000000053,26
34.834422000,rx,f01b000300010000000100004d00000100000000000000000003050b09006f,31
34.905568000,tx,f016000300010000000100014d00000100090000000b00000068,26
34.941463000,rx,f048000300010000000100014d00000100090000000b0000000f010100360033000c000e00020001000100000000000000000000000000000000000000000000000000000000000000000000,76
35.029441000,tx,f016000300010000000100014d05000000000000000000000058,26
