
25/02/2023  14:22:08

;4500 - 1;;4501 - 2;;4502 - 3;;4503 - 4;;4504 - 5;;4505 - 6;;4506 - 7;;4507 - 8;;4508 - 9;;4509 - 10;;450A - 11;;450B - 12;;450C - 13;;450D - 14;;450E - 15;;450F - 16;;4510 - 17;;4511 - 18;;4512 - 19;;4513 - 20;;0014 - 21;;0015 - 22;;0016 - 23;;0017 - 24;;0018 - 25;;0019 - 26;;001A - 27;;001B - 28;;001C - 29;;001D - 30;;001E - 31;;001F - 32;;0020 - 33;;0021 - 34;;0022 - 35;;0023 - 36;;0024 - 37;;0025 - 38;;0026 - 39;;0027 - 40;;0028 - 41;;0029 - 42;;002A - 43;;002B - 44;;002C - 45;;002D - 46;;002E - 47;;002F - 48;;0030 - 49;;0031 - 50;;0032 - 51;;0033 - 52;;0034 - 53;;0035 - 54;;0036 - 55;;0037 - 56;;0038 - 57;;0039 - 58;
1F brzeit;1000;1;52;1;65;1;71;1;66;1;10;1;20;1;20;1;20;1;20;1;43;1;35;1;51;1;61;1;20;1;47;1;20;1;20;1;20;1;20;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20 vorwl;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21 munzp;1;1;2;1;0;1;0;1;2;1;0;1;0;1;0;1;0;1;0;1;2;1;2;1;1;1;1;1;0;1;2;1;0;1;0;1;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22 preis;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23 fehler;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24 text;Latte              ;1;Cappuccino         ;1;White Coffee       ;1;Americano          ;1;Mocha              ;1;Hot Chocolate      ;1;blocked            ;1;hot water          ;1;blocked            ;1;blocked            ;1;2 Cappuccino       ;1;2 espresso         ;1;2 cafe latte       ;1;2 cafe creme       ;1;milk free flow     ;1;chociatto          ;1;blocked            ;1;Hot water          ;1;x2                 ;1;x2                 ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25 BrTakt;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26 AusgPos;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27 ZgbWass;0;1;0;1;0;1;0;1;170;1;190;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;80;1;0;1;0;1;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28 MilQual;5;1;5;1;5;1;5;1;5;1;0;1;5;1;5;1;5;1;5;1;5;1;5;1;5;1;5;1;5;1;5;1;5;1;5;1;10;1;10;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29 count;280;1;242;1;53;1;214;1;303;1;269;1;0;1;4153;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

