
25/02/2023  14:21:03

;0000 - 1;;0001 - 2;;0002 - 3;;0003 - 4;;0004 - 5;;0005 - 6;;0006 - 7;;0007 - 8;;0008 - 9;;0009 - 10;;000A - 11;;000B - 12;;000C - 13;;000D - 14;;000E - 15;;000F - 16;;0010 - 17;;0011 - 18;;0012 - 19;;0013 - 20;;0014 - 21;;0015 - 22;;0016 - 23;;0017 - 24;;0018 - 25;;0019 - 26;;001A - 27;;001B - 28;;001C - 29;;001D - 30;;001E - 31;;001F - 32;;0020 - 33;;0021 - 34;;0022 - 35;;0023 - 36;;0024 - 37;;0025 - 38;;0026 - 39;;0027 - 40;;0028 - 41;;0029 - 42;;002A - 43;;002B - 44;;002C - 45;;002D - 46;;002E - 47;;002F - 48;;0030 - 49;;0031 - 50;;0032 - 51;;0033 - 52;;0034 - 53;;0035 - 54;;0036 - 55;;0037 - 56;;0038 - 57;;0039 - 58;
1C dosvar;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;3;1;2;1;2;1;3;1;3;1;0;1;2;1;0;1;0;1;0;1;1;1;1;1;1;1;2;1;1;1;0;1;0;1;0;1;1;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;1;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;
1D tropre;10;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;15;1;10;1;10;1;10;1;10;1;10;1;10;1;10;1;15;1;15;1;15;1;10;1;10;1;15;1;10;1;15;1;15;1;15;1;15;1;15;1;10;1;15;1;15;1;15;1;15;1;15;1;15;1;10;1;10;1;15;1;15;1;15;1;15;1;15;1;15;1;10;1;10;1;10;1;10;1;10;1;10;1;10;1;15;1;10;1;15;1;15;
1E mtropre;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1F brzeit;20;1;10;1;17;1;14;1;23;1;23;1;23;1;12;1;18;1;15;1;25;1;25;1;25;1;20;1;20;1;20;1;20;1;20;1;20;1;20;1;12;1;20;1;20;1;10;1;20;1;20;1;20;1;10;1;10;1;15;1;12;1;10;1;10;1;10;1;17;1;10;1;14;1;14;1;14;1;20;1;20;1;14;1;20;1;18;1;40;1;40;1;20;1;10;1;20;1;10;1;10;1;20;1;10;1;10;1;20;1;10;1;12;1;20;
20 vorwl;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;3;1;4;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
21 munzp;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;2;1;1;1;2;1;0;1;0;1;2;1;0;1;2;1;2;1;1;1;2;1;2;1;0;1;2;1;1;1;2;1;1;1;1;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;2;1;0;1;2;1;1;
22 preis;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;1;1;
23 fehler;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;
24 text;Tas. Dummy         ;1;1 cappuccino   ;1;2 cappuccino   ;1;1 cafe creme   ;1;2 cafe creme   ;1;jug cafe creme ;1;2jug cafe creme;1;1 espresso     ;1;2 espresso     ;1;1 cafe latte   ;1;2 cafe latte   ;1;jug cafe latte ;1;2jug cafe latte;1;foam metered   ;1;foam freeflow  ;1;milk free flow ;1;milk small     ;1;milk large     ;1;blocked        ;1;hot water      ;1;1LatteMacchiato;1;2LatteMacchiato;1;espr. macchiato;1;cup chocolate      ;1;mug chocolate      ;1;cafe mocha         ;1;steam              ;1;chociatto          ;1;1 cappuccino       ;1;1 cafe latte       ;1;1LatteMacchiato    ;1;chociatto          ;1;milk choc          ;1;cappuccino [2]     ;1;2cappuccino [2]    ;1;cappuccino [2]     ;1;pot 35             ;1;pot 50             ;1;pot 70             ;1;table water        ;1;water              ;1;cup                ;1;2 cup              ;1;mug                ;1;pot                ;1;jug                ;1;mocha              ;1;cup choc 2         ;1;mug choc 2         ;1;milk choc 2        ;1;macha              ;1;soup               ;1;choc milk          ;1;choc milk 2        ;1;coffee mocha 2     ;1;milk choc          ;1;LatteMacch.N       ;1;2 LatteMacch.N     ;
25 BrTakt;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;1;50;
26 AusgPos;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;
27 ZgbWass;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;200;1;160;1;90;1;0;1;80;1;0;1;0;1;0;1;90;1;100;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;90;1;105;1;160;1;100;1;120;1;120;1;100;1;100;1;90;1;100;1;0;1;0;
28 MilQual;5;1;5;1;5;1;5;1;5;1;5;1;5;1;5;1;5;1;5;1;5;1;5;1;5;1;5;1;5;1;5;1;5;1;5;1;5;1;5;1;10;1;10;1;5;1;0;1;0;1;5;1;0;1;5;1;0;1;0;1;0;1;0;1;0;1;5;1;5;1;0;1;5;1;5;1;5;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;5;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;5;1;0;1;10;1;10;
29 count;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;

